group,name,detail,bytes,ngram_n,windows,unique_ngrams,block_size,blocks,unique_blocks,repeated_blocks,repeated_block_kinds,repeat_ratio,entropy_bits,max_entropy_bits,kl_to_uniform,kl_plain_to_method,kl_method_to_plain,series
ecb-demo,Pattern Plain,repeated blocks,32768,,,,8,4096,4,4092,4,0.9990234375,2.0,64,,,,Pattern Plain repeated blocks
ecb-demo,AES-128,ECB,32784,,,,8,4098,6,4092,4,0.9985358711566618,2.00558469848904,64,,,,AES-128 ECB
ecb-demo,AES-128,CBC,32784,,,,8,4098,4098,0,0,0.0,12.000704269011251,64,,,,AES-128 CBC
ecb-demo,AES-128,CTR,32768,,,,8,4096,4096,0,0,0.0,12.0,64,,,,AES-128 CTR
ecb-demo,DES,ECB,32776,,,,8,4097,5,4092,4,0.9987795948254821,2.002792987829337,64,,,,DES ECB
ecb-demo,DES,CBC,32776,,,,8,4097,4097,0,0,0.0,12.000352177480305,64,,,,DES CBC
ecb-demo,3DES,ECB,32776,,,,8,4097,5,4092,4,0.9987795948254821,2.002792987829337,64,,,,3DES ECB
ecb-demo,3DES,CBC,32776,,,,8,4097,4097,0,0,0.0,12.000352177480305,64,,,,3DES CBC
ecb-demo,Pattern Plain,repeated blocks,32768,,,,16,2048,2,2046,2,0.9990234375,1.0,128,,,,Pattern Plain repeated blocks
ecb-demo,AES-128,ECB,32784,,,,16,2049,3,2046,2,0.9985358711566618,1.0055846984890406,128,,,,AES-128 ECB
ecb-demo,AES-128,CBC,32784,,,,16,2049,2049,0,0,0.0,11.000704269011251,128,,,,AES-128 CBC
ecb-demo,AES-128,CTR,32768,,,,16,2048,2048,0,0,0.0,11.0,128,,,,AES-128 CTR
ecb-demo,DES,ECB,32776,,,,16,2048,2,2046,2,0.9990234375,1.0,128,,,,DES ECB
ecb-demo,DES,CBC,32776,,,,16,2048,2048,0,0,0.0,11.0,128,,,,DES CBC
ecb-demo,3DES,ECB,32776,,,,16,2048,2,2046,2,0.9990234375,1.0,128,,,,3DES ECB
ecb-demo,3DES,CBC,32776,,,,16,2048,2048,0,0,0.0,11.0,128,,,,3DES CBC
