group,name,detail,bytes,ngram_n,windows,unique_ngrams,block_size,blocks,unique_blocks,repeated_blocks,repeated_block_kinds,repeat_ratio,entropy_bits,max_entropy_bits,kl_to_uniform,kl_plain_to_method,kl_method_to_plain,series
modern-ngram,AES-128,ECB,54384,1,54384,256,,,,,,,7.996510131350081,8,0.002418992615216082,2.575057749711289,19.559916596811107,AES-128 ECB
modern-ngram,AES-128,CBC,54384,1,54384,256,,,,,,,7.996075926323952,8,0.0027199606048624583,2.619831447425199,19.625249110044802,AES-128 CBC
modern-ngram,AES-128,CTR,54368,1,54368,256,,,,,,,7.99662363699977,8,0.002340316494156025,2.6039171464107316,19.6170014120464,AES-128 CTR
modern-ngram,AES-128,CFB,54368,1,54368,256,,,,,,,7.996624662605504,8,0.0023396055984333144,2.5821719711014923,19.583531750381507,AES-128 CFB
modern-ngram,AES-128,OFB,54368,1,54368,256,,,,,,,7.997264881490574,8,0.0018958396833056981,2.572340040560311,19.580463405478064,AES-128 OFB
modern-ngram,AES-256,ECB,54384,1,54384,256,,,,,,,7.996753663214858,8,0.002250189189768687,2.581408608600116,19.569665900139153,AES-256 ECB
modern-ngram,AES-256,CBC,54384,1,54384,256,,,,,,,7.996701612735192,8,0.002286267832995665,2.5718594181079553,19.563640365442048,AES-256 CBC
modern-ngram,AES-256,CTR,54368,1,54368,256,,,,,,,7.996151728383513,8,0.002667418620996954,2.604748090886909,19.62484658630855,AES-256 CTR
modern-ngram,AES-256,CFB,54368,1,54368,256,,,,,,,7.99636665334396,8,0.00251844399063112,2.581073088130679,19.58552916024225,AES-256 CFB
modern-ngram,AES-256,OFB,54368,1,54368,256,,,,,,,7.997153049570765,8,0.001973355663218166,2.606184340327707,19.60493209123941,AES-256 OFB
modern-ngram,DES,ECB,54376,1,54376,256,,,,,,,7.99631571928279,8,0.0025537487915252436,2.5772501826453706,19.55599392492065,DES ECB
modern-ngram,DES,CBC,54376,1,54376,256,,,,,,,7.996083226149041,8,0.0027149007516830493,2.5553272307829467,19.547998338775205,DES CBC
modern-ngram,DES,CFB,54368,1,54368,256,,,,,,,7.996436938859911,8,0.0024697257834156022,2.571951660799947,19.55130931595559,DES CFB
modern-ngram,DES,OFB,54368,1,54368,256,,,,,,,7.996838222501016,8,0.0021915771589786862,2.586898983986479,19.575678835739744,DES OFB
modern-ngram,3DES,ECB,54376,1,54376,256,,,,,,,7.997004391110641,8,0.0020763978557191125,2.585801575775159,19.587947977679125,3DES ECB
modern-ngram,3DES,CBC,54376,1,54376,256,,,,,,,7.996797777157057,8,0.002219611735110474,2.59824143185188,19.645451017644692,3DES CBC
modern-ngram,3DES,CFB,54368,1,54368,256,,,,,,,7.996610787729216,8,0.0023492229298131585,2.6100883388832057,19.630508745664624,3DES CFB
modern-ngram,3DES,OFB,54368,1,54368,256,,,,,,,7.996639026221531,8,0.002329649498481804,2.611479492068629,19.633795261034543,3DES OFB
modern-ngram,AES-128,ECB,54384,2,54383,36927,,,,,,,15.021598807061324,16,0.6781760283419297,12.519618588626578,17.04597018639213,AES-128 ECB
modern-ngram,AES-128,CBC,54384,2,54383,36885,,,,,,,15.018917971860668,16,0.6800342417028102,13.382244461794494,17.052402826551557,AES-128 CBC
modern-ngram,AES-128,CTR,54368,2,54367,36858,,,,,,,15.019292553531926,16,0.6797746014734897,13.003338877392062,17.054244352853964,AES-128 CTR
modern-ngram,AES-128,CFB,54368,2,54367,36963,,,,,,,15.022614831601018,16,0.6774717737968625,12.943073553061712,17.043598004205432,AES-128 CFB
modern-ngram,AES-128,OFB,54368,2,54367,36963,,,,,,,15.025437478009579,16,0.6755152643970521,12.056798844255953,17.036402982098743,AES-128 OFB
modern-ngram,AES-256,ECB,54384,2,54383,37000,,,,,,,15.02636704878687,16,0.6748709350336389,11.69034085402788,17.040474715371353,AES-256 ECB
modern-ngram,AES-256,CBC,54384,2,54383,36908,,,,,,,15.020412609510815,16,0.6789982378296522,12.71855542021762,17.048952715086276,AES-256 CBC
modern-ngram,AES-256,CTR,54368,2,54367,36770,,,,,,,15.016223701973262,16,0.6819017672789358,13.024832190173708,17.046931207275687,AES-256 CTR
modern-ngram,AES-256,CFB,54368,2,54367,36893,,,,,,,15.0213185372549,16,0.678370296568051,12.683812125183277,17.04073466241874,AES-256 CFB
modern-ngram,AES-256,OFB,54368,2,54367,37007,,,,,,,15.025546537948978,16,0.6754396698075442,12.784738634645954,17.037426886309376,AES-256 OFB
modern-ngram,DES,ECB,54376,2,54375,36898,,,,,,,15.020917658720926,16,0.6786481643936215,12.199176052303484,17.03586936716854,DES ECB
modern-ngram,DES,CBC,54376,2,54375,36923,,,,,,,15.020689880821447,16,0.6788060480024389,11.650658045898302,17.040942479085192,DES CBC
modern-ngram,DES,CFB,54368,2,54367,36928,,,,,,,15.021163361608657,16,0.6784778561297349,12.631343295005776,17.032121327676457,DES CFB
modern-ngram,DES,OFB,54368,2,54367,36922,,,,,,,15.024121094974015,16,0.6764277115866897,13.005741061737403,17.039168538490177,DES OFB
modern-ngram,3DES,ECB,54376,2,54375,36951,,,,,,,15.024469817463693,16,0.676185995576172,11.443709275474685,17.04694695414933,3DES ECB
modern-ngram,3DES,CBC,54376,2,54375,36864,,,,,,,15.01976688524218,16,0.6794458197858777,12.027465753581836,17.05766393552942,3DES CBC
modern-ngram,3DES,CFB,54368,2,54367,36739,,,,,,,15.0142952860244,16,0.6832384433568346,13.716229979726949,17.0653177902935,3DES CFB
modern-ngram,3DES,OFB,54368,2,54367,36985,,,,,,,15.026652092068261,16,0.6746733580868067,13.319752283223082,17.05965231463992,3DES OFB
modern-ngram,AES-128,ECB,54384,3,54382,54301,,,,,,,15.727862662851756,24,5.733808672448964,19.761971747509904,16.72390742317712,AES-128 ECB
modern-ngram,AES-128,CBC,54384,3,54382,54308,,,,,,,15.728120100974664,24,5.733630229939902,19.75335675811643,16.72277230963347,AES-128 CBC
modern-ngram,AES-128,CTR,54368,3,54366,54286,,,,,,,15.727474048875173,24,5.734078039131154,19.747202312019528,16.721574404898117,AES-128 CTR
modern-ngram,AES-128,CFB,54368,3,54366,54278,,,,,,,15.727179747289624,24,5.734282033445412,19.729356662919894,16.722999863549592,AES-128 CFB
modern-ngram,AES-128,OFB,54368,3,54366,54295,,,,,,,15.727805138158917,24,5.7338485455276125,19.777355305325838,16.724147130078425,AES-128 OFB
modern-ngram,AES-256,ECB,54384,3,54382,54292,,,,,,,15.727531670979445,24,5.734038098532045,19.700743787177807,16.72199495018598,AES-256 ECB
modern-ngram,AES-256,CBC,54384,3,54382,54295,,,,,,,15.727642001603549,24,5.733961623171018,19.74720319426396,16.723673825103806,AES-256 CBC
modern-ngram,AES-256,CTR,54368,3,54366,54287,,,,,,,15.727496951286566,24,5.734062164389268,19.776739938115497,16.724908511293883,AES-256 CTR
modern-ngram,AES-256,CFB,54368,3,54366,54254,,,,,,,15.726282957246173,24,5.734903640935583,19.758266172160884,16.72379438670642,AES-256 CFB
modern-ngram,AES-256,OFB,54368,3,54366,54278,,,,,,,15.727179747289624,24,5.734282033445412,19.731510448156055,16.724330814991628,AES-256 OFB
modern-ngram,DES,ECB,54376,3,54374,54260,,,,,,,15.726436162267367,24,5.734797447307093,19.708937264361474,16.721871233552662,DES ECB
modern-ngram,DES,CBC,54376,3,54374,54265,,,,,,,15.726620073695623,24,5.734669969619124,19.780432290233378,16.726537134842772,DES CBC
modern-ngram,DES,CFB,54368,3,54366,54301,,,,,,,15.728025864348078,24,5.7336955497919195,19.75120219888669,16.723867138383053,DES CFB
modern-ngram,DES,OFB,54368,3,54366,54299,,,,,,,15.727952288951691,24,5.733746548370483,19.766894062750186,16.723722776818803,DES OFB
modern-ngram,3DES,ECB,54376,3,54374,54246,,,,,,,15.725921210268249,24,5.735154384833405,19.67735918917025,16.7220805213782,3DES ECB
modern-ngram,3DES,CBC,54376,3,54374,54290,,,,,,,15.727539630836905,24,5.734032581179282,19.75981767002073,16.72414722388592,3DES CBC
modern-ngram,3DES,CFB,54368,3,54366,54275,,,,,,,15.727069384195042,24,5.734358531313259,19.782278243008502,16.725274146519656,3DES CFB
