group,name,detail,bytes,ngram_n,windows,unique_ngrams,block_size,blocks,unique_blocks,repeated_blocks,repeated_block_kinds,repeat_ratio,entropy_bits,max_entropy_bits,kl_to_uniform,kl_plain_to_method,kl_method_to_plain,key_type,key_length,key_hex
xor-study,XOR,"known-word, n=1",54368,,,,,,,,,,4.269125481757111,,2.5860451533430022,24.67188882479199,24.67188882479199,known-word,1,61
xor-study,XOR,"random-word, n=1",54368,,,,,,,,,,4.269125481757112,,2.5860451533430022,24.67188882479199,24.67188882479199,random-word,1,63
xor-study,XOR,"random-ascii, n=1",54368,,,,,,,,,,4.269125481757111,,2.5860451533430022,24.67188882479199,24.671888824791985,random-ascii,1,70
xor-study,XOR,"random-bytes, n=1",54368,,,,,,,,,,4.269125481757111,,2.5860451533430027,24.67188882479199,24.67188882479199,random-bytes,1,3e
xor-study,XOR,"known-word, n=2",54368,,,,,,,,,,4.602746774383682,,2.354796494984131,24.67188882479199,24.440640166433116,known-word,2,6162
xor-study,XOR,"random-word, n=2",54368,,,,,,,,,,4.602746774383682,,2.354796494984131,24.67188882479199,24.440640166433116,random-word,2,6261
xor-study,XOR,"random-ascii, n=2",54368,,,,,,,,,,4.737340977177897,,2.2615029027976066,24.67188882479199,24.347346574246593,random-ascii,2,6f71
xor-study,XOR,"random-bytes, n=2",54368,,,,,,,,,,5.26879880892212,,1.8931244051375975,24.19409368202019,23.73542875457945,random-bytes,2,7b40
xor-study,XOR,"known-word, n=3",54368,,,,,,,,,,4.573531213165846,,2.3750471788707506,24.67188882479199,24.460890850319732,known-word,3,616261
xor-study,XOR,"random-word, n=3",54368,,,,,,,,,,4.680452385669445,,2.3009350696077173,24.67188882479199,24.386778741056705,random-word,3,73746f
xor-study,XOR,"random-ascii, n=3",54368,,,,,,,,,,4.661511151573681,,2.314064132617522,24.67188882479199,24.39990780406651,random-ascii,3,737569
xor-study,XOR,"random-bytes, n=3",54368,,,,,,,,,,5.40546618510161,,1.7983937986642573,24.602472627441934,23.859031961224932,random-bytes,3,57cedf
xor-study,XOR,"known-word, n=5",54368,,,,,,,,,,4.776395691829875,,2.234432237449015,24.67188882479199,24.320275908898,known-word,5,6162616375
xor-study,XOR,"random-word, n=5",54368,,,,,,,,,,4.84498250275414,,2.186891482833262,24.67188882479199,24.27273515428225,random-word,5,6b696e6574
xor-study,XOR,"random-ascii, n=5",54368,,,,,,,,,,4.8290591999017405,,2.1979286753106058,24.67188882479199,24.28377234675959,random-ascii,5,6a6a73626c
xor-study,XOR,"random-bytes, n=5",54368,,,,,,,,,,6.25813919663686,,1.2073659047790426,24.67188882479199,23.29320957622803,random-bytes,5,9178b0f9b6
xor-study,XOR,"known-word, n=8",54368,,,,,,,,,,4.883928825151109,,2.159895949270625,24.67188882479199,24.24573962071961,known-word,8,6162646f6d696e61
xor-study,XOR,"random-word, n=8",54368,,,,,,,,,,4.8535685690771295,,2.180940075169381,24.67188882479199,24.266783746618366,random-word,8,73657175656c7365
